1;jdoe;123;John;Doe;MALE;1990-05-15;ADMINISTRATOR;1;false
2;asmith;123;Alice;Smith;FEMALE;1985-07-20;MANAGER;2;true
3;rgreen;123;Rachel;Green;FEMALE;1985-08-13;CUSTOMER;0;true
4;mgeller;123;Monica;Geller;FEMALE;1985-09-14;MANAGER;10;true
5;ttrubisky;123;Tom;Trubisky;MALE;1982-02-21;MANAGER;12;true
6;bwilliams;123;Bruce;Williams;MALE;1978-11-30;MANAGER;16;true
7;lmcgregor;123;Laura;McGregor;FEMALE;1992-03-15;MANAGER;20;true
8;fjackson;123;Frank;Jackson;MALE;1980-07-25;MANAGER;0;true
9;jmiller;123;Jessica;Miller;FEMALE;1995-12-05;MANAGER;0;true
10;pdavis;123;Patrick;Davis;MALE;1983-01-17;MANAGER;5;true
11;lstewart;123;Linda;Stewart;FEMALE;1987-10-10;MANAGER;17;true
12;jbrown;123;James;Brown;MALE;1984-04-10;EMPLOYEE;5;false
